Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
09/02/2016,08:30,12:30,School,Projectwerk,Uitlegsessie bachelorproef + doornemen documentatie,,
11/02/2016,13:30,17:45,School,Projectwerk,Opstellen analysedocumenten+ taakverdeling begin,,
16/02/2016,08:15,12:30,School,Communicatie,Infomoment met klant,,presentatie van onderwerp door klant + mogelijkheid tot vragen
16/02/2016,21:00,23:00,Thuis,Bijleren over de databank,,,
18/02/2016,10:30,11:00,School,Lezing door bedrijven,,,Verplichte contacturen
18/02/2016,13:15,17:45,School,Job- en stagebeurs,,,Verplichte contacturen
22/02/2016,00:30,01:30,Thuis,Werking github herhalen,,,
22/02/2016,17:00,20:00,Thuis,Bekijken van alle code en starten van code DummyDbConnector,,,
23/02/2016,08:15,12:30,School,Projectwerk,Werken aan VM werkend krijgen,,
23/02/2016,20:15,23:00,Thuis,afwerken DummyDbConnectore en werking github wat uittesten,,,github problemen oplossen
25/02/2016,13:30,15:00,School,Communicatie,Module 4: eindwerken schrijven,,Verplichte contacturen
25/02/2016,15:15,17:45,School,Projectwerk,,,
26/02/2016,09:45,12:00,Thuis,Proberen pushen naar branch. Github werkt tegen met detached head,,,
27/02/2016,10:15,12:15,Thuis,Github eindelijk kunnen committen,,,
27/02/2016,19:45,20:45,Thuis,Opzoeken hoe project naar Proxy krijgen,,22,
28/02/2016,10:45,13:10,Thuis,Project executable jar maken en kijken voor exporteren,,22,
28/02/2016,13:45,14:35,Thuis,Project naar proxy proberen krijgen,,22,
28/02/2016,17:20,20:45,Thuis,Script zoeken om project naar Proxy te krijgen,,22,
01/03/2016,08:15,12:30,School,Contacturen,,22,Script via ssh en scp van een zip naar proxy en VM sturen
01/03/2016,19:15,22:25,Thuis,Uitzoeken hoe best logging realiseren,,,
02/03/2016,10:25,12:00,Thuis,Logging beginnen programmeren,,,
02/03/2016,18:45,20:50,Thuis,Verderwerken logging,,,
03/03/2016,13:30,17:45,School,communicatieles & contacturen,,,
03/03/2016,20:45,23:30,Thuis,verderwerken logging,,,
04/03/2016,11:00,16:30,Thuis,Afwerken logging,,,probleem met duplicate logging 
04/03/2016,19:00,21:20,Thuis,Afwerken geheel na logging,,,probleem met logbestanden
04/03/2016,22:40,01:00,Thuis,Merken van lokaal naar master,,,Github merge die lastig doet
06/03/2016,14:10,15:45,Thuis,Indelig repository in README.md,,,
06/03/2016,16:40,17:50,Thuis,Richtlijnen in README.md,,,
07/03/2016,13:50,16:40,Thuis,Voor wiki en analysedocumenten kijken,,,
08/03/2016,08:00,10:30,School,Voorstelling en ontmoeting klant voor einde sprint 1,,,
10/03/2016,13:30,17:45,School,Contacturen begin sprint 2 en kijken voor REST API,,31,
11/03/2016,12:30,14:45,Thuis,Proberen JSON ipv XML te produceren met REST API,,31,
12/03/2016,10:00,12:00,School,Werken aan project als voorstelling opendeurdag,,,
12/03/2016,14:45,17:30,Thuis,Verderwerken REST API,,31,
13/03/2016,11:15,13:00,Thuis,Verderwerken REST API,,31,
13/03/2016,23:00,01:30,Thuis,Basisfunctionaliteit REST API getest en gepusht,,31,
15/03/2016,08:15,12:30,School,Contacturen en peerassessment presentaties,,,
15/03/2016,20:30,21:45,Thuis,Properties gebruiken voor JPA Query's in REST API,,31,
16/03/2016,00:30,02:00,Thuis,Verderwerken properties en moeilijke query voor REST API,,31,
17/03/2016,13:30,17:30,School,Contacturen,,31,
17/03/2016,18:00,19:15,Thuis,API query uittesten,,31,
18/03/2016,21:50,00:15,Thuis,API query vervangen door soort CTE met nieuwe tabellen,,31,
19/03/2016,00:15,01:10,Thuis,Oplossen van REST API probleem,,31,Het was fout in mijn variabelen
22/03/2016,08:15,12:30,School,Contacturen en presentatie geven,,31,in contacturen pushen van correcte REST API
24/03/2016,13:30,17:45,School,Contacturen,,, rest api & query's logging
24/03/2016,21:45,23:30,Thuis,Rest api ? voor goede query strings proberen,,,
25/03/2016,11:00,13:40,Thuis,REST API authentication en empty path problemen,,,
25/03/2016,14:50,17:10,Thuis,Zoeken naar mogelijke oplossing voor URL-probleem (? enzo),,,
25/03/2016,23:30,01:30,Thuis,Robin's REST oplossing bekijken en mogelijke aanpassingen,,,
26/03/2016,10:00,11:50,Thuis,REST API query strings en opschonen code,,,
27/03/2016,16:00,17:30,Thuis,REST API verderwerken,,,
27/03/2016,20:30,23:15,Thuis,Verderwerken REST API,,,
28/03/2016,10:15,12:30,Thuis,Verderwerken REST API,,,samenvatten url's en output's
28/03/2016,13:30,15:00,Thuis,Probleem oplossen met weekday's casten naar long,,,
30/03/2016,15:30,18:00,Thuis,Zoeken naar mogelijkheden api authentication,,,
31/03/2016,09:00,12:15,Thuis,Mogelijkheden vergelijken api authentication,,,
31/03/2016,20:45,00:30,Thuis,Uitwerken mogelijkheid met  containerrequestfilter,,,
01/04/2016,16:30,18:30,Thuis,Verderwerken api authentication met containerrequestfilter,,,
01/04/2016,19:45,21:15,Thuis,Verderwerken api authentication met containerrequestfilter,,,
02/04/2016,00:30,01:45,Thuis,Api authentication met web service security bekijken en proberen,,,
02/04/2016,10:30,11:30,Thuis,Api authentication met api keys weer uit proberen werken,,,
04/04/2016,09:00,12:00,Thuis,Code van project lezen,,,
04/04/2016,14:45,17:00,Thuis,Alle requests opvangen met een containerrequestfilter bekijken,,,
05/04/2016,10:00,13:00,Thuis,Zorgen dat mijn project weer werkt mbv Robin,,,
05/04/2016,16:00,17:45,Thuis,Verderkijken naar mogelijke authenticatie met filters,,,
07/04/2016,12:00,13:00,Thuis,Kijken voor query waar alle providers worden opgehaald,,,
10/04/2016,22:30,23:45,Thuis,javascript code project bekijken,,,
12/04/2016,08:15,12:30,School,Taakverdeling voor einde sprint2,,,
12/04/2016,19:30,20:15,Thuis,Bekijken ajax en hoe calls worden gemaakt,,,
13/04/2016,12:30,13:45,Thuis,Via ajax routes en providers ophalen,,,
13/04/2016,14:45,17:40,Thuis,Via ajax proberen trafficdata ophalen,,,
14/04/2016,13:30,18:00,School,Api javascript ophalen van data via rest api,,,
15/04/2016,13:00,16:40,Thuis,Kijken voor dump en testen lokaal,,,
15/04/2016,19:45,20:30,Thuis,Kijken voor syncIntervalData en presentatie,,,Simon had dit al gedaan
16/04/2016,00:50,01:30,Thuis,Kijken voor latitude en longitude om te wisselen in databank,,,
16/04/2016,16:45,18:00,Thuis,Issues bekijken en code nog eens bekijken,,,
16/04/2016,19:30,22:15,Thuis,Klassendiagram verkeer maken leren werken met LucidChart,,55,
17/04/2016,10:15,12:40,Thuis,Klassendiagram dbConnectors en providerConnectors maken,,55,
17/04/2016,13:30,16:40,Thuis,Klassendiagram REST API,,55,Geprutst mt Visual Paradigm
17/04/2016,17:25,18:30,Thuis,Klassendiagram REST api met LucidChart,,55,





