Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
09/02/2016,8:15,12:30,School,Projectwerk,Uitlegsessie bachelorproef + doornemen documentatie,,
11/02/2016,13:30,17:45,School,Projectwerk,Opstellen analysedocumenten+ taakverdeling begin,,
16/02/2016,8:15,12:30,School,Communicatie,Infomoment met klant,,presentatie van onderwerp door klant + mogelijkheid tot vragen
18/02/2016,12:45,14:00,School,Communicatie,Module 4: eindwerken schrijven,,Verplichte contacturen
20/02/2016,10:00,14:30,Thuis,Projectwerk,HereConnectorProvider klasse schrijven. Line endings problemen oplossen.,1,
21/02/2016,22:00,23:30,Thuis,Projectwerk,HereConnectorProvider afgewerkt + dummy methodes,1,
23/02/2016,8:15,12:30,School,Projectwerk,WazeConnector: geen scraper maar via api,,
23/02/2016,18:00,18:30,Thuis,Projectwerk,WazeConnector afgewerkt,6,
23/02/2016,20:30,22:30,Thuis,Projectwerk,WazeConnector verfijnen + mariaDB fixes + mariaDB routes in database,6,zie ook #18 #19
24/02/2016,23:15,23:45,Thuis,Projectwerk,Kleine improvements,,
25/02/2016,13:30,15:00,School,Communicatie,Module 4: eindwerken schrijven,,Verplichte contacturen
25/02/2016,15:15,17:45,School,Projectwerk,Schrijven van analysedocument voor klant,,Verplichte contacturen
01/03/2016,8:15,12:30,School,Projectwerk,Beter documentatie van WazeConnector klasse.,6,Verplichte contacturen
03/03/2016,13:30,16:45,School,Communicatie,Module 3,,Verplichte contacturen
03/03/2016,16:45,17:45,School,Projectwerk,,,Verplichte contacturen
04/03/2016,09:15,10:15,Thuis,Projectwerk,WazeConnector properties en test fix,6,
06/03/2016,12:00,17:30,Thuis,Projectwerk,Voorbereiden voorstellen eerste sprint,,Niet zeker of dit bij communicatie hoort of niet...
06/03/2016,17:45,19:30,Thuis,Projectwerk,Voorbereiden voorstellen eerste sprint,,Niet zeker of dit bij communicatie hoort of niet...
10/03/2016,13:30,17:45,School,Projectwerk,Mockups maken,23,
10/03/2016,18:00,20:30,Thuis,Projectwerk,Mockups maken,23,
12/03/2016,10:00,12:00,School,Projectwerk,Mockups omzetten in HTML en (S)CSS,24,
